certNumber,certType,city,critical,customerNumber,direct,inspectionDate,inspectionDateString,legalName,nonCritical,reportLink,siteName,state,teachableMoments,zip,hash_id
16-R-0057,Class R - Research Facility,NEW HAVEN,0,50,0,2023-07-24,7/24/2023,John B. Pierce Laboratory,0,https://aphis--c.documentforce.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=0683d000009H59W&d=%2Fa%2F3d000001Upzw%2F_u0nA11tnsyYfyrRlGOdKwVAv6NHxaQGodELxPEGnqE&asPdf=false,JOHN P PIERCE LABORATORY,Connecticut,0,06519,0ba2976c5beedfd4
16-H-0011,Class H - Intermediate Handler,WESTPORT,0,65,0,2014-09-25,9/25/2014,JET A PET INC,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgoHl&d=%2Fa%2F3d000000patZ%2FA6Sm186kjWmy5GMfm6gQheazt3sjdaQ5HFC6S7_9HqI&asPdf=false,TOWN HOUSE FOR DOGS & CATS,Connecticut,0,06880,73a542c88a1f02e9
16-H-0011,Class H - Intermediate Handler,WESTPORT,0,65,0,2015-08-05,8/5/2015,JET A PET INC,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgeRg&d=%2Fa%2F3d000000pST3%2F3jIBQOWaMZABQ5VyyqvdAjGMDW7LwB.qHFEEKn7TV1A&asPdf=false,TOWN HOUSE FOR DOGS & CATS,Connecticut,0,06880,f80d2bc3b4a1d9e0
16-H-0011,Class H - Intermediate Handler,WESTPORT,0,65,0,2017-11-01,11/1/2017,JET A PET INC,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgnqR&d=%2Fa%2F3d000000poQN%2FXlMLyRq_owNDZC9xdNNf2ySbV1pQQgVv1Qufe9EkXyE&asPdf=false,TOWN HOUSE FOR DOGS & CATS,Connecticut,0,06880,9d7dfe2c3a2d0df8
16-H-0011,Class H - Intermediate Handler,WESTPORT,0,65,0,2019-02-14,2/14/2019,JET A PET INC,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Ego9E&d=%2Fa%2F3d000000pkq2%2FDH5RDsNh2whuFy3PhtwttuJn_pW71.wFrkNYjngUmZ8&asPdf=false,TOWN HOUSE FOR DOGS & CATS,Connecticut,0,06880,406a415eb9b8dabb
51-A-0030,Class A - Breeder,Freeland,0,81,0,2014-08-20,8/20/2014,Johns Hopkins University,1,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgX7w&d=%2Fa%2F3d000000pZmu%2FE_iYEwcfJvNBLoKKhPFEBDtvNVX29H3jUFZzEHCmrWU&asPdf=false,The Johns Hopkins University,Maryland,0,21053,d5f99943f12c4741
51-A-0030,Class A - Breeder,Freeland,0,81,0,2015-10-29,10/29/2015,Johns Hopkins University,1,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Dnwv5&d=%2Fa%2F3d000000pZmi%2FGz8akIa9oyTYGv2q9rEfMn7KhLNN12GndH4cyeXt4ik&asPdf=false,The Johns Hopkins University,Maryland,0,21053,d6b4c9ca46399434
51-A-0030,Class A - Breeder,Freeland,0,81,0,2016-01-25,1/25/2016,Johns Hopkins University,1,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000DnwVY&d=%2Fa%2F3d000000pZlm%2FYRhQzhtkFkMFtkZcQ1_0YdrFPM8qhVRSgDK6UVoIx1g&asPdf=false,The Johns Hopkins University,Maryland,0,21053,7155f9a330d8b7b0
51-A-0030,Class A - Breeder,Freeland,0,81,0,2016-04-06,4/6/2016,Johns Hopkins University,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgcPm&d=%2Fa%2F3d000000pZlx%2FRXM.qF6t1.jEWDmVo4ZSoffNwzUPI2rU0XVOx5QVqFI&asPdf=false,The Johns Hopkins University,Maryland,0,21053,8fb55253a2704e31
51-A-0030,Class A - Breeder,Freeland,0,81,0,2016-07-15,7/15/2016,Johns Hopkins University,1,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgXge&d=%2Fa%2F3d000000pZm0%2FaLi8npHgt0T9gfnpM57_1djAd1.sd2ntIZBkLeat3Co&asPdf=false,The Johns Hopkins University,Maryland,0,21053,feb38644f9cc71b9
