certNumber,certType,city,critical,customerNumber,direct,inspectionDate,inspectionDateString,legalName,nonCritical,reportLink,siteName,state,teachableMoments,zip,hash_id
58-C-0664,Class C - Exhibitor,SARASOTA,0,10034,0,2014-06-16,6/16/2014,Hans Klose,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgdiK&d=%2Fa%2F3d000000pobK%2FRA1FPn9nEfGVkIyYcwvkgJfNIoekTakVJQqFscfdrfw&asPdf=false,VARIOUS TRAVELED LOCATIONS,Florida,0,34233,df1121c7feb3e577
58-C-1135,Class C - Exhibitor,SARASOTA,0,10034,0,2014-12-22,12/22/2014,Hans Klose,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgbXh&d=%2Fa%2F3d000000pWnL%2Fltk8GJJpxw0.1k5N.4fM3XsUPsO_IjNpHLkSxmrxzWA&asPdf=false,HANS KLOSE,Florida,0,34233,262f4b325aa0b5ca
58-C-1135,Class C - Exhibitor,SARASOTA,0,10034,0,2016-12-14,12/14/2016,Hans Klose,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egiy6&d=%2Fa%2F3d000000pnxo%2FiEkCijUZh5zJIwseS5nInyzIcncYTtKcFTO9aEUTNcs&asPdf=false,HANS KLOSE,Florida,0,34233,555e4c37013a95a0
58-C-1135,Class C - Exhibitor,SARASOTA,0,10034,0,2017-07-25,7/25/2017,Hans Klose,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EggDD&d=%2Fa%2F3d000000pnNQ%2FQx6_YNYxlE0xbUCvsZ7YsfwEMwWepKKHjmjqGRcWmqc&asPdf=false,HANS KLOSE,Florida,1,34233,d9b5e52dc50bb857
58-C-1135,Class C - Exhibitor,SARASOTA,0,10034,0,2018-09-19,9/19/2018,Hans Klose,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgeBl&d=%2Fa%2F3d000000pdXh%2FsXwpvwx9kFo1TFjt9eLzrIWZDbk_L13LeibA2INCGQg&asPdf=false,HANS KLOSE,Florida,0,34233,0932cc54a79574f1
58-C-1135,Class C - Exhibitor,SARASOTA,0,10034,0,2018-11-14,11/14/2018,Hans Klose,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Eggvf&d=%2Fa%2F3d000000plhO%2FuBHqKjF3lt0qoNxIqfepvZAYBu4EtcQK4cx28CB..RM&asPdf=false,HANS KLOSE,Florida,0,34233,01fe2f93d9000759
58-C-1135,Class C - Exhibitor,SARASOTA,0,10034,0,2019-03-12,3/12/2019,Hans Klose,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egfww&d=%2Fa%2F3d000000pakp%2FN1RnpNUVaVQqQgo.lIvwmU7qmWkaVvl7IB3K2wRZ_90&asPdf=false,HANS KLOSE,Florida,0,34233,039d326a9ae5dd48
58-C-1135,Class C - Exhibitor,SARASOTA,0,10034,0,2020-01-09,1/9/2020,Hans Klose,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgfWK&d=%2Fa%2F3d000000paqF%2FdOkfoh_sbL6zX_sWHtMxgduSeV16bykaQgn419lkl9U&asPdf=false,HANS KLOSE,Florida,1,34233,c0af7d94bbb5d6e6
58-C-1135,Class C - Exhibitor,SARASOTA,0,10034,0,2020-03-04,3/4/2020,Hans Klose,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgdhQ&d=%2Fa%2F3d000000pg58%2FVjvZ0DLZAadNFOr48oQoT4cAlOYrVGpKejEL.Tkp.Ko&asPdf=false,HANS KLOSE,Florida,0,34233,6320bc0a5177cb59
58-C-1135,Class C - Exhibitor,SARASOTA,0,10034,0,2022-04-08,4/8/2022,Hans Klose,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000YwaUl&d=%2Fa%2F3d000000piOt%2FXvt_P0BcBh5pLVhJqAH2VuJbbVUlBIBCUmp8xpSsbhM&asPdf=false,HANS KLOSE,Florida,0,34233,092db0f2d05f3fcb
58-C-1135,Class C - Exhibitor,SARASOTA,0,10034,0,2023-11-30,11/30/2023,Hans Klose,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=0683d00000B9Mjv&d=%2Fa%2F3d000002BNU9%2FVlLnheK3O_MwdubLcZfIBbxQaSxqREkVc7GrRlmINks&asPdf=false,HANS KLOSE,Florida,0,34233,6386c672e1201d5b
58-C-1135,Class C - Exhibitor,Arcadia,0,10034,0,2023-11-30,11/30/2023,Hans Klose,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=0683d00000B9PRB&d=%2Fa%2F3d000002BMhb%2F.5938O2gaLrdYEht7nrREHx6QTHv4Ao9WxiTWP2qWCM&asPdf=false,Hans Klose,Florida,0,34266,3338e4a5b052d8df
58-C-1135,Class C - Exhibitor,SARASOTA,0,10034,0,2024-07-31,7/31/2024,Hans Klose,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ0000015nNh&d=%2Fa%2FSJ0000003FQj%2FSBMCuldYno.90DWpFjGQzRDnIHXVZazOOPGAeq8Lmok&asPdf=false,HANS KLOSE,Florida,0,34233,1640a13b7de9af30
58-C-1135,Class C - Exhibitor,Arcadia,0,10034,0,2026-04-01,4/1/2026,Hans Klose,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ0000182gkS&d=%2Fa%2FSJ000009Rc8r%2FiOon7wtMRe4.jEgINeXuDK04uS0V1W.QVDd1BiLyVDU&asPdf=false,Hans Klose,Florida,0,34266,86ea7d46cb3615ee
31-A-0091,Class A - Breeder,SUGARCREEK,0,10084,0,2014-12-11,12/11/2014,ADEN BURKHOLDER,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egkcy&d=%2Fa%2F3d000000pjn8%2FEHdc_7VAHnVRJPOGrhKqjAlvq.UI4GnGiQeies8PHHI&asPdf=false,ADEN BURKHOLDER,Ohio,0,44681,7ec423eb7d709bb3
31-A-0091,Class A - Breeder,SUGARCREEK,0,10084,0,2016-01-12,1/12/2016,ADEN BURKHOLDER,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egij0&d=%2Fa%2F3d000000poyT%2F4wKtZkStYEG36czLFGK_EJvwplV9E2jGDyI7IjAiOkg&asPdf=false,ADEN BURKHOLDER,Ohio,0,44681,79c56f27af600c83
31-A-0091,Class A - Breeder,SUGARCREEK,0,10084,0,2017-05-04,5/4/2017,ADEN BURKHOLDER,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgloJ&d=%2Fa%2F3d000000pofA%2F2G9w2iowUn06A34LsRowl1CgfmWGVYgQn9Suk9ryauc&asPdf=false,ADEN BURKHOLDER,Ohio,0,44681,694e009159e2645d
31-A-0091,Class A - Breeder,SUGARCREEK,0,10084,1,2017-11-16,11/16/2017,ADEN BURKHOLDER,1,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgWbL&d=%2Fa%2F3d000000pfGO%2Fi04GMDaJB70xUj8vkUeE8BmN7fbQUs6jclSfeBz1qS8&asPdf=false,ADEN BURKHOLDER,Ohio,0,44681,cee1ad3eba1b7abf
31-A-0091,Class A - Breeder,SUGARCREEK,0,10084,0,2017-12-12,12/12/2017,ADEN BURKHOLDER,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgbES&d=%2Fa%2F3d000000plaf%2Fm3NY5KB1ju7VX3LFec97BgpSFGXAnCjJ7sgA5xPcYsM&asPdf=false,ADEN BURKHOLDER,Ohio,0,44681,564317927683098d
