certNumber,certType,city,critical,customerNumber,direct,inspectionDate,inspectionDateString,legalName,nonCritical,reportLink,siteName,state,teachableMoments,zip,hash_id
48-A-1561,Class A - Breeder,Iola,0,10028,0,2014-12-04,12/4/2014,Antigone Means,1,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgipT&d=%2Fa%2F3d000000pcJl%2FybqX25nx0FicL5WFHnbKddCZqKDc3bND2sZSeS99ZRo&asPdf=false,Antigone Means,Kansas,0,66749,468d1d73fef54a9e
48-A-1561,Class A - Breeder,Iola,0,10028,0,2015-04-02,4/2/2015,Antigone Means,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egla7&d=%2Fa%2F3d000000pcIC%2FaMZtiMhUimLCOSY4MvLYNuBLCMcCT3DT8_IENzNhoFE&asPdf=false,Antigone Means,Kansas,0,66749,24ef4be56c00f468
48-A-1561,Class A - Breeder,Iola,0,10028,0,2016-04-11,4/11/2016,Antigone Means,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgksE&d=%2Fa%2F3d000000pcJc%2FqwgSu_BTTM5ZBh6asz6q1cP0I1a7dYgexPhkVdwq.Ro&asPdf=false,Antigone Means,Kansas,0,66749,81c20db7af1fc7ee
48-A-1561,Class A - Breeder,Iola,0,10028,0,2017-07-05,7/5/2017,Antigone Means,1,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egimb&d=%2Fa%2F3d000000pcJM%2FUkZ.CsoMOYrdh8u2GoW6Stau_3Pajt0Jvi0cTabaXGs&asPdf=false,Antigone Means,Kansas,0,66749,5974a827a36fdec6
48-A-1561,Class A - Breeder,Iola,0,10028,0,2017-08-15,8/15/2017,Antigone Means,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgkkL&d=%2Fa%2F3d000000pcJ7%2FlYeNjlwGp5A46KcIS_ng7K6P3AKzVBGBCnypjV8_MGk&asPdf=false,Antigone Means,Kansas,0,66749,e42977b3759beedb
48-A-1561,Class A - Breeder,Iola,0,10028,0,2018-08-02,8/2/2018,Antigone Means,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EggaH&d=%2Fa%2F3d000000pcJR%2Fz__bZGYE2I1he2wzj7w0b3C.fq0xPbx0nMcgqIRrE4o&asPdf=false,Antigone Means,Kansas,0,66749,b35b4273421db271
48-A-1561,Class A - Breeder,Iola,0,10028,0,2019-09-11,9/11/2019,Antigone Means,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EglFU&d=%2Fa%2F3d000000pcIq%2F0AksIm4NdzodDiKbxaCpv7F3N3R1u8zdajyI8xKpj7c&asPdf=false,Antigone Means,Kansas,0,66749,c9eb28e0dd22c49c
48-A-1561,Class A - Breeder,Iola,0,10028,0,2021-09-13,9/13/2021,Antigone Means,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000PNCY8&d=%2Fa%2F3d000000pcIK%2FD0_DWku1Tc4Z8c74xo.4.0s7haXC52vBkh8bLAdeedk&asPdf=false,Antigone Means,Kansas,0,66749,7d51375c6e4dac62
48-A-1561,Class A - Breeder,Iola,0,10028,0,2022-11-29,11/29/2022,Antigone Means,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000gvIgc&d=%2Fa%2F3d000000pcON%2FDjoJoc0nzuL1_shd39.uytfc.92pT.SG9TN1UqSXZUw&asPdf=false,Antigone Means,Kansas,0,66749,7029fe76a640472e
48-A-1561,Class A - Breeder,Iola,0,10028,0,2023-11-06,11/6/2023,Antigone Means,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=0683d00000Al02R&d=%2Fa%2F3d0000026N8J%2FyWKwtPEP1Mb.j934x6PIEAdzfI8FsSAXLBBw_3xeos8&asPdf=false,Antigone Means,Kansas,0,66749,fc0dee1f798834ef
48-A-1561,Class A - Breeder,Iola,0,10028,0,2025-01-13,1/13/2025,Antigone Means,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ00000KfDKU&d=%2Fa%2FSJ000001r9ZF%2FGFEXXfmGIOaGNEa9DX.xKAvcy5Qiu279k8dNJgB6HHQ&asPdf=false,Antigone Means,Kansas,0,66749,34f67c17040ba7af
48-A-1561,Class A - Breeder,Iola,0,10028,0,2026-03-23,3/23/2026,Antigone Means,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ0000173xTh&d=%2Fa%2FSJ000009GNEn%2FdNoVOWTTPGA_gkZCcZZ8jALFB.zqm2xhuA2EVovgQWk&asPdf=false,Antigone Means,Kansas,0,66749,efdbdd47e1b77cd5
21-C-0237,Class C - Exhibitor,GLEN COVE,0,10029,0,2014-10-07,10/7/2014,ROBERT MALVINO,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EggNW&d=%2Fa%2F3d000000pekd%2FolIbF_F01bcx4XnbNPCgOGuZv5slCMo1x6p07f6bsx0&asPdf=false,ROBERT MALVINO,New York,0,11542,b09c69332a99208d
21-C-0237,Class C - Exhibitor,GLEN COVE,0,10029,0,2015-10-06,10/6/2015,ROBERT MALVINO,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgjDi&d=%2Fa%2F3d000000pg1I%2FLODnoOx.dCftkFzF4XAXVsS1pYW6Cn4ur0b7ZY_sATs&asPdf=false,ROBERT MALVINO,New York,0,11542,323c06472c8c5f7a
21-C-0237,Class C - Exhibitor,GLEN COVE,0,10029,0,2016-11-02,11/2/2016,ROBERT MALVINO,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EglPJ&d=%2Fa%2F3d000000pg1s%2FLZqZ.FZWDmbd72ZHtyXfEiYI2r5pK3bTMIiDUzwgbn8&asPdf=false,ROBERT MALVINO,New York,0,11542,14cf5d9f499e9a50
21-C-0237,Class C - Exhibitor,GLEN COVE,0,10029,0,2017-10-24,10/24/2017,ROBERT MALVINO,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Eglho&d=%2Fa%2F3d000000pg1b%2FhS_X6J2akhIS8A6avuQzV_qGlqssFWUkHuk5qz9Cdkw&asPdf=false,ROBERT MALVINO,New York,0,11542,c840132537cdfd0b
21-C-0237,Class C - Exhibitor,GLEN COVE,0,10029,0,2018-10-01,10/1/2018,ROBERT MALVINO,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egn2T&d=%2Fa%2F3d000000pg1U%2FBabEesFLannSll5f7GmWSYYuHKy6hLMZNTd4SWOLVzM&asPdf=false,ROBERT MALVINO,New York,0,11542,480bd9d2ecbae0c1
42-A-0779,Class A - Breeder,Sioux Center,0,10056,0,2014-08-11,8/11/2014,Renae Schuiteman and Terry Schuiteman,1,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EggLd&d=%2Fa%2F3d000000peSE%2F4GVku5jYsclIXxvmvQqCa_LXl0P3JKojRRNE25tDnok&asPdf=false,Renae Schuiteman and Terry Schuiteman,Iowa,0,51250,9d9cbe5d89503a05
42-A-0779,Class A - Breeder,Sioux Center,0,10056,0,2014-08-19,8/19/2014,Renae Schuiteman and Terry Schuiteman,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EggFq&d=%2Fa%2F3d000000peSK%2FVgerqteX.MeQYElUY6Ag.KabU220Q8TNaBLIpZMP.L4&asPdf=false,Renae Schuiteman and Terry Schuiteman,Iowa,0,51250,a58f3939ea19a215
42-A-0779,Class A - Breeder,Sioux Center,0,10056,0,2015-08-06,8/6/2015,Renae Schuiteman and Terry Schuiteman,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgdLH&d=%2Fa%2F3d000000peSM%2FsJznBswTWWzfKlMTz2cZkNkAyiNWXQqwNtbfCM1mUOc&asPdf=false,Renae Schuiteman and Terry Schuiteman,Iowa,0,51250,f68f41651655597f
42-A-0779,Class A - Breeder,Sioux Center,0,10056,0,2016-06-23,6/23/2016,Renae Schuiteman and Terry Schuiteman,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgeXK&d=%2Fa%2F3d000000peR9%2FxBHoy.CC7QBrOdrIPxlyEzubU2BH3Gh9s2hV1rmElv0&asPdf=false,Renae Schuiteman and Terry Schuiteman,Iowa,0,51250,ee2818ac8eb612f7
42-A-0779,Class A - Breeder,Sioux Center,0,10056,0,2017-05-03,5/3/2017,Renae Schuiteman and Terry Schuiteman,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgexT&d=%2Fa%2F3d000000peRs%2F7DpKl0.5eASYuIoe4ohc1s7J5.8AyGoU_T4o01sJuZU&asPdf=false,Renae Schuiteman and Terry Schuiteman,Iowa,0,51250,66320b4dbeee7272
