certNumber,certType,city,critical,customerNumber,direct,inspectionDate,inspectionDateString,legalName,nonCritical,reportLink,siteName,state,teachableMoments,zip,hash_id
58-H-0146,Class H - Intermediate Handler,Belgrade,0,1004,0,2014-02-19,2/19/2014,Signature Flight Support LLC,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egmpq&d=%2Fa%2F3d000000pUoj%2FfstFoSFldFzBxBfh3HiTmDRWMsknKdaYajfYGMoL7eg&asPdf=false,Signature Flight Support Corporation - BZN - Bozeman Yellowstone International,Montana,0,59714,59ae2ac878b1bb50
58-H-0146,Class H - Intermediate Handler,Baltimore,0,1004,0,2014-06-03,6/3/2014,Signature Flight Support LLC,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgnGn&d=%2Fa%2F3d000000pV38%2FmoYJKB2Pn4ay2jfQSzO1UC7v.GID2KmXgciN3wIrTWI&asPdf=false,Signature Flight Support Corporation - BWI - Baltimore/Washington International,Maryland,0,21061,832ee895703c165c
58-H-0146,Class H - Intermediate Handler,Wichita,0,1004,0,2014-09-29,9/29/2014,Signature Flight Support LLC,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgmIq&d=%2Fa%2F3d000000piMU%2F_OzU1Dbwn0gSqma3flWQjwlLF80lIlw6em1fmbV2l9k&asPdf=false,Signature Flight Support Corporation - ICT - Wichita Dwight D. Eisenhower,Kansas,0,67209,d350ad0c7f3ab740
58-H-0146,Class H - Intermediate Handler,Baltimore,0,1004,0,2014-11-20,11/20/2014,Signature Flight Support LLC,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egnjj&d=%2Fa%2F3d000000pV1v%2F7TWEbgi0e1PDEgiMaXpUenF8jz7NiEncjvWuBt92Er0&asPdf=false,Signature Flight Support Corporation - BWI - Baltimore/Washington International,Maryland,0,21061,97b39bf47951ee8f
58-H-0146,Class H - Intermediate Handler,Belgrade,0,1004,0,2015-02-04,2/4/2015,Signature Flight Support LLC,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egm8t&d=%2Fa%2F3d000000pnc1%2Fm1xYL3cAwWGeQE.q5yVdjHEWQt.TKOD9KcvlgeDNvYQ&asPdf=false,Signature Flight Support Corporation - BZN - Bozeman Yellowstone International,Montana,0,59714,0a57e0899cbf3830
58-H-0146,Class H - Intermediate Handler,Baltimore,0,1004,0,2015-05-07,5/7/2015,Signature Flight Support LLC,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgnBA&d=%2Fa%2F3d000000pV27%2FYvnUWn5GMYmeQfWx_0DvppNugwlmWtCyNNjS9wEXPKk&asPdf=false,Signature Flight Support Corporation - BWI - Baltimore/Washington International,Maryland,0,21061,3f1e2f307d423278
58-H-0146,Class H - Intermediate Handler,Baltimore,0,1004,0,2015-12-08,12/8/2015,Signature Flight Support LLC,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egmut&d=%2Fa%2F3d000000pV2A%2FVwPjPGULsjKG6D4YqIj.hcJ2rTtQPpU9.DXjPzDnSI8&asPdf=false,Signature Flight Support Corporation - BWI - Baltimore/Washington International,Maryland,0,21061,7471fdfe002405a0
58-H-0146,Class H - Intermediate Handler,Baltimore,0,1004,0,2016-05-18,5/18/2016,Signature Flight Support LLC,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgnOO&d=%2Fa%2F3d000000pV2k%2FeQjHfblSSxr58eyaNe39IrvxVyyXdAcHpbyel7oZHhE&asPdf=false,Signature Flight Support Corporation - BWI - Baltimore/Washington International,Maryland,0,21061,eac3092fcc154661
58-H-0146,Class H - Intermediate Handler,Wichita,0,1004,0,2016-09-12,9/12/2016,Signature Flight Support LLC,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egjuk&d=%2Fa%2F3d000000pgjy%2F4gB1iP54NLdqKS45KMvDh28AdLDHcb1wEN1wa3R2DF4&asPdf=false,Signature Flight Support Corporation - ICT - Wichita Dwight D. Eisenhower,Kansas,0,67209,d603f46b39684947
58-H-0146,Class H - Intermediate Handler,Coatesville,0,1004,0,2016-09-19,9/19/2016,Signature Flight Support LLC,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egmtb&d=%2Fa%2F3d000000pdcZ%2Fu6JWyRWXvU6GDpNVVjzwQf4BHMBbZVxp2gsgp3AzOAs&asPdf=false,Signature Flight Support Corporation - CTH - Chester County Airport,Pennsylvania,0,19320,bbf91e107346d18a
