certNumber,certType,city,critical,customerNumber,direct,inspectionDate,inspectionDateString,legalName,nonCritical,reportLink,siteName,state,teachableMoments,zip,hash_id
95-R-0003,Class R - Research Facility,HONOLULU,0,18,0,2014-07-29,7/29/2014,Queens Medical Center,1,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egfbh&d=%2Fa%2F3d000000pXgJ%2FfYUglGRZFhK2Lp4Q5LdfgPHku5XQHbmWWROwLgJiDYM&asPdf=false,QUEEN'S MEDICAL CENTER,Hawaii,0,96813,17bbe85a89da7862
95-R-0003,Class R - Research Facility,HONOLULU,0,18,0,2014-07-30,7/30/2014,Queens Medical Center,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egnvk&d=%2Fa%2F3d000000pXhU%2FVyfKF_BKDqwDm6qIrK5U.JZ2Mo.Yal4rKyL6L8z0B20&asPdf=false,QUEEN'S MEDICAL CENTER,Hawaii,0,96813,c45021e754480d80
95-R-0003,Class R - Research Facility,HONOLULU,0,18,0,2015-09-15,9/15/2015,Queens Medical Center,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egnay&d=%2Fa%2F3d000000pXgK%2FX4DhWkcFZ54hSseTTbZxLZTFdOQXaFWIFzSwRlsUQx8&asPdf=false,QUEEN'S MEDICAL CENTER,Hawaii,0,96813,dd39a8a611d3e093
95-R-0003,Class R - Research Facility,HONOLULU,0,18,0,2016-07-14,7/14/2016,Queens Medical Center,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egm7J&d=%2Fa%2F3d000000pXhB%2Fq_qdyfiqqBiRDxTVkuAVqNJogzkVZbWD0IEi5yF2ehc&asPdf=false,QUEEN'S MEDICAL CENTER,Hawaii,0,96813,b97c31368aeb6e20
95-R-0003,Class R - Research Facility,HONOLULU,0,18,0,2017-03-21,3/21/2017,Queens Medical Center,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egmzj&d=%2Fa%2F3d000000pXhX%2FCDISO8khtBtIVanWtlaJThUitJvlt5DUw0.2zqMNa68&asPdf=false,QUEEN'S MEDICAL CENTER,Hawaii,0,96813,1654b0ed6336685d
95-R-0003,Class R - Research Facility,HONOLULU,0,18,0,2018-07-20,7/20/2018,Queens Medical Center,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgmXt&d=%2Fa%2F3d000000pXh8%2FdVA62VmFhZbynQc5oE59pdh7DdNaKbLajPoftstEGK8&asPdf=false,QUEEN'S MEDICAL CENTER,Hawaii,0,96813,83ed75afc0864962
95-R-0003,Class R - Research Facility,HONOLULU,0,18,0,2022-08-11,8/11/2022,Queens Medical Center,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000YxzAS&d=%2Fa%2F3d000000pXhJ%2Ft.I4Nu3GVNd85UR_xyyRZ6K.j5e_ITxfN7mTqylm.eY&asPdf=false,QUEEN'S MEDICAL CENTER,Hawaii,0,96813,9ee442fb40d53501
95-R-0003,Class R - Research Facility,HONOLULU,0,18,0,2023-05-05,5/5/2023,Queens Medical Center,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=0683d000008MCIf&d=%2Fa%2F3d000001BZUn%2F9cQxZ4L4NYFGZsnVgdbbRb5kYDRg1_rd1gb.oAhN5wo&asPdf=false,QUEEN'S MEDICAL CENTER,Hawaii,0,96813,1bc8fda49368e7c2
95-R-0003,Class R - Research Facility,HONOLULU,0,18,0,2024-07-23,7/23/2024,Queens Medical Center,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ00000144XY&d=%2Fa%2FSJ0000002xTp%2FAY3oEESVmMAfRjDEORPrrb3zTtkCrCggxDVW0.zdSLU&asPdf=false,QUEEN'S MEDICAL CENTER,Hawaii,0,96813,69cbc62210e0f93c
16-R-0026,Class R - Research Facility,HAMDEN,0,46,0,2015-02-04,2/4/2015,Quinnipiac University,2,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgVej&d=%2Fa%2F3d000000plOJ%2Fb2nvFybop1d_ASKQTcDyJH6Bu1Tw.CvFtGoM.5_o6vw&asPdf=false,QUINNIPIAC UNIVERSITY,Connecticut,0,06518,048d23cf993f85a1
16-R-0026,Class R - Research Facility,HAMDEN,0,46,0,2015-05-12,5/12/2015,Quinnipiac University,1,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgXL2&d=%2Fa%2F3d000000pnrz%2FyCwdJMDHrq.dpdRl6FcwQq1ebBh9R7vg5v9EWl9lLbE&asPdf=false,QUINNIPIAC UNIVERSITY,Connecticut,0,06518,5fbcb888fbc24ffe
16-R-0026,Class R - Research Facility,HAMDEN,0,46,0,2015-10-05,10/5/2015,Quinnipiac University,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgdHp&d=%2Fa%2F3d000000pb1j%2FEfVJOb9yZyiuAay_6c98arUpWd3sHm2t4ZaOH59qJ48&asPdf=false,QUINNIPIAC UNIVERSITY,Connecticut,0,06518,2c1ed6d4e48f5fa0
16-R-0026,Class R - Research Facility,HAMDEN,0,46,0,2016-03-31,3/31/2016,Quinnipiac University,1,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgXzW&d=%2Fa%2F3d000000pf2R%2FCJQVJCrU0Ab_70mHlIvPuS.Z5kjXDD9gf1EX_v0XMiE&asPdf=false,QUINNIPIAC UNIVERSITY,Connecticut,0,06518,dd83c72e0a3d02ce
16-R-0026,Class R - Research Facility,HAMDEN,0,46,0,2016-11-09,11/9/2016,Quinnipiac University,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgdOO&d=%2Fa%2F3d000000pS6D%2FseRHqJNTNDSw.fubTWBMHXdd.VAoO4h7dHvh96LTPEs&asPdf=false,QUINNIPIAC UNIVERSITY,Connecticut,0,06518,09ed00cdd6e3704c
16-R-0026,Class R - Research Facility,HAMDEN,0,46,0,2017-10-25,10/25/2017,Quinnipiac University,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgdAC&d=%2Fa%2F3d000000pkXy%2FppwDBphatInlVH5mJiwremhKP_dVOGNSKG7sxWG8hb8&asPdf=false,QUINNIPIAC UNIVERSITY,Connecticut,0,06518,84b8a5bb8f59f5a5
16-R-0026,Class R - Research Facility,HAMDEN,0,46,0,2019-03-19,3/19/2019,Quinnipiac University,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgdFW&d=%2Fa%2F3d000000pUZ3%2FpOnk8TsICWOU2MxYyfl7M2BHBVmGD3TQ4bEpbAHS7zw&asPdf=false,QUINNIPIAC UNIVERSITY,Connecticut,0,06518,dd6a4a6b2a74d91c
16-R-0026,Class R - Research Facility,HAMDEN,0,46,0,2020-01-29,1/29/2020,Quinnipiac University,1,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgYkN&d=%2Fa%2F3d000000pU87%2F5ctA9hBftJCWm1F4F6y1FZkrCgtqHhDbTyLk9DvOJUI&asPdf=false,QUINNIPIAC UNIVERSITY,Connecticut,0,06518,40c497f8e3fbf7b3
16-R-0026,Class R - Research Facility,HAMDEN,0,46,0,2020-03-04,3/4/2020,Quinnipiac University,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egfax&d=%2Fa%2F3d000000pdnp%2Fjx4UcMMjqSynCEvXDRYYeMxPatd0jmtR6glIsFm..TI&asPdf=false,QUINNIPIAC UNIVERSITY,Connecticut,1,06518,5412bc4436619192
16-R-0060,Class R - Research Facility,Hamden,0,46,0,2024-09-04,9/4/2024,Quinnipiac University,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ000003vT8P&d=%2Fa%2FSJ000000DP0b%2FdvCMECrqvrPC3K8YosJ3EaX3WFQmmOmB842Bcpp0sXk&asPdf=false,Quinnipiac University,Connecticut,0,06518,1fd00cf3459dd76a
16-R-0060,Class R - Research Facility,Hamden,0,46,0,2025-04-03,4/3/2025,Quinnipiac University,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ00000SvO0r&d=%2Fa%2FSJ000002zUZV%2FnA_tJwPE_7Un0pdP7NEth5aG0ko1TQtwD1an_lZ3L7U&asPdf=false,Quinnipiac University,Connecticut,0,06518,dab6580702765b3b
