certNumber,certType,city,critical,customerNumber,direct,inspectionDate,inspectionDateString,legalName,nonCritical,reportLink,siteName,state,teachableMoments,zip,hash_id
16-R-0039,Class R - Research Facility,HAMDEN,0,61,0,2014-04-21,4/21/2014,THE C T AGRICULTURE EXPERIMENT STATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgcAz&d=%2Fa%2F3d000000plC1%2Fq1s5XmlwO1BSpgqHvjFcr52vrlWAExLrIX.ORB.w0LU&asPdf=false,LOCKWOOD FARM,Connecticut,0,06514,a6ff0a67057d4eaa
16-R-0039,Class R - Research Facility,NEW HAVEN,0,61,0,2014-04-21,4/21/2014,THE C T AGRICULTURE EXPERIMENT STATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egd1n&d=%2Fa%2F3d000000pluH%2FzGa8wTtPArtjjsvzEQ_AxhTJX9xA7EanRwlH6Og8z5Y&asPdf=false,SLATE BLDG & BRITTON BLDG,Connecticut,0,06504,1238fff2a1ec8c11
16-R-0039,Class R - Research Facility,HAMDEN,0,61,0,2015-05-19,5/19/2015,THE C T AGRICULTURE EXPERIMENT STATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egbl8&d=%2Fa%2F3d000000pblp%2FZDc_PIRvCravN4FGZ_82A9jBuos6.FYvlJsmcFH4Jg4&asPdf=false,LOCKWOOD FARM,Connecticut,0,06514,4d4905555c3f329b
16-R-0039,Class R - Research Facility,NEW HAVEN,0,61,0,2015-05-19,5/19/2015,THE C T AGRICULTURE EXPERIMENT STATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgcaZ&d=%2Fa%2F3d000000pdRJ%2FhxIwKj0INQKe4lpUOqIAC5XJlJHl.FuEkueU.cEGCIo&asPdf=false,SLATE BLDG & BRITTON BLDG,Connecticut,0,06504,b9029181565b9e29
16-R-0039,Class R - Research Facility,HAMDEN,0,61,0,2016-02-09,2/9/2016,THE C T AGRICULTURE EXPERIMENT STATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgayJ&d=%2Fa%2F3d000000pm3u%2FOJYgpnfsNo4I_gF7ZYw0PQWFcwjt.WdHrrhi4HA41S4&asPdf=false,LOCKWOOD FARM,Connecticut,0,06514,5d9d7daddfec1108
16-R-0039,Class R - Research Facility,NEW HAVEN,0,61,0,2016-02-09,2/9/2016,THE C T AGRICULTURE EXPERIMENT STATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgcO9&d=%2Fa%2F3d000000pkyp%2FETLO.1eKjOrIkl1KaT9L.arBIMooxaa8A25zdEfeJLM&asPdf=false,SLATE BLDG & BRITTON BLDG,Connecticut,0,06504,1c871b0064f0f6a6
16-R-0039,Class R - Research Facility,NEW HAVEN,0,61,0,2016-11-09,11/9/2016,THE C T AGRICULTURE EXPERIMENT STATION,1,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgWc0&d=%2Fa%2F3d000000pfzP%2F6NJNZRH2_JaUQdpqNSArZpTW5C7N6DshBWpwuWtH0KA&asPdf=false,SLATE BLDG & BRITTON BLDG,Connecticut,0,06504,c5e4e53ed9f86b3f
16-R-0039,Class R - Research Facility,HAMDEN,0,61,0,2016-11-09,11/9/2016,THE C T AGRICULTURE EXPERIMENT STATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgbFi&d=%2Fa%2F3d000000pmYP%2FWsalCHqmkAW2_.D5V1eNLGxMdawZOdVeepNLs_AD9UA&asPdf=false,LOCKWOOD FARM,Connecticut,0,06514,8bfda2b1b4c2ec48
16-R-0039,Class R - Research Facility,HAMDEN,0,61,0,2018-02-14,2/14/2018,THE C T AGRICULTURE EXPERIMENT STATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgZsf&d=%2Fa%2F3d000000pmw3%2F42gSCmW_JLIskEkmSWo.kVmqFPvQ5aDzxk8XBwSMU1k&asPdf=false,LOCKWOOD FARM,Connecticut,0,06514,718e1d6f73a69dd8
16-R-0039,Class R - Research Facility,NEW HAVEN,0,61,0,2018-02-14,2/14/2018,THE C T AGRICULTURE EXPERIMENT STATION,0,https://aphis--c.na107.content.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egax4&d=%2Fa%2F3d000000pma9%2FYOSbfQTmAKfo14PPUDqxpZxBJ49XwTF6ptrdvheT.q8&asPdf=false,SLATE BLDG & BRITTON BLDG,Connecticut,0,06504,67727b2d4f7a09d2
