certNumber,certType,city,critical,customerNumber,direct,inspectionDate,inspectionDateString,legalName,nonCritical,reportLink,siteName,state,teachableMoments,zip,hash_id
58-C-1096,Class C - Exhibitor,Orlando,0,10004,0,2025-11-25,11/25/2025,Orlando Science Center,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ00000vB2Dp&d=%2Fa%2FSJ000007OVeY%2FIuLgSVj_OYZih9K4ulv0dTIb.M7J_0d5Gd_4n99Hze8&asPdf=false,Orlando Science Center,Florida,0,32803,9593bad4de95d320
43-A-6252,Class A - Breeder,Lancaster,0,10020,0,2025-12-30,12/30/2025,Cynthia Stump,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ00000wYtry&d=%2Fa%2FSJ000007ax5Z%2F4Fdyyj3r6TlyonHOQkn4HotVawINKTtAImonQ_23qt0&asPdf=false,Cynthia Stump,Missouri,0,63548,cc132f39e61a5ab3
58-H-0146,Class H - Intermediate Handler,Huntsville,0,1004,0,2025-11-19,11/19/2025,Signature Flight Support LLC,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ00000vAv4F&d=%2Fa%2FSJ000007OXJl%2FWFZI1kCWyVFva2ww23t3fZucV2QWTlrHoZfuV1jtAHo&asPdf=false,Signature Flight Support Corporation - HSV - Huntsville International Airport,Alabama,0,35824,71af5331b06aeed0
58-H-0146,Class H - Intermediate Handler,San Francisco,0,1004,0,2026-01-08,1/8/2026,Signature Flight Support LLC,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ00000xyFwz&d=%2Fa%2FSJ000007mb2r%2F32uLfuDP9lTi8lFZa92BzYDOneyJUaAWwy4UZkC.7yU&asPdf=false,Signature Flight Support Corporation - SFO - San Francisco International,California,0,94128,48cf192fb379b99b
58-H-0146,Class H - Intermediate Handler,San Diego,0,1004,0,2026-01-14,1/14/2026,Signature Flight Support LLC,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ00000yVLh4&d=%2Fa%2FSJ000007rVJO%2F37fygGWHYbSV2ejSmflYBkFPjj7vGin7dPpB_bUbNMY&asPdf=false,Signature Flight Support Corporation - SAN - San Diego International Airport,California,0,92101,c1c8189c25a064f9
42-A-0779,Class A - Breeder,Sioux Center,0,10056,0,2025-09-16,9/16/2025,Renae Schuiteman and Terry Schuiteman,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ00000mOawk&d=%2Fa%2FSJ0000060tIn%2FM0TlX8Yh1keZpr_V5SrYLShI9RhIvpMSCq_XNaxcTVs&asPdf=false,Renae Schuiteman and Terry Schuiteman,Iowa,0,51250,2ddb8f4e0155b9bd
91-R-0001,Class R - Research Facility,MESA,1,1016,0,2026-01-12,1/12/2026,University of Washington,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ00000zMDrY&d=%2Fa%2FSJ000007yT7x%2FYwDYSiGkz8nG2IgIxWG9eD7fsvENkkv6p6ReokRiDOo&asPdf=false,University of Washington,Arizona,0,85215,7fdb104dc01b40b8
91-R-0017,Class R - Research Facility,BELLINGHAM,0,1022,0,2025-11-19,11/19/2025,Western Washington University,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ00000vA3Ih&d=%2Fa%2FSJ000007OVwH%2FPQKOOeBf4ocDjzGX45fsEEnTJsBDXoZGhgKrmeGE0Tc&asPdf=false,Western Washington University,Washington,0,98225,ba9bf76844da3443
86-R-0003,Class R - Research Facility,Tucson,0,1044,0,2026-01-15,1/15/2026,The University of Arizona,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ00000yXr1O&d=%2Fa%2FSJ000007rkFH%2Fjk5Jrg79G67pBBmDC22WhtSZ7VotlbBZmgk_8Z9ExSQ&asPdf=false,The University of Arizona Animal Care,Arizona,0,85724,611d44900c3b72af
58-C-0667,Class C - Exhibitor,GAINESVILLE,0,10453,0,2025-12-08,12/8/2025,Jungle Friends Primate Sanctuary,2,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ00000vATO5&d=%2Fa%2FSJ000007ONIn%2FZY9EaR34iHoDJXBwFKvXWwkC0TR1xTjSiGhQn3e60sE&asPdf=false,JUNGLE FRIENDS PRIMATE SANCTUARY INC,Florida,0,32653,9b5715ac87edeb42
